#n_gente  p_exito
0.0000 0.0000
1.0000 0.0000
2.0000 0.0000
3.0000 0.0000
4.0000 0.0400
5.0000 0.0300
6.0000 0.0400
7.0000 0.0000
8.0000 0.0900
9.0000 0.0500
10.0000 0.1100
11.0000 0.1200
12.0000 0.1600
13.0000 0.1900
14.0000 0.1400
15.0000 0.2500
16.0000 0.2600
17.0000 0.2600
18.0000 0.3100
19.0000 0.3700
20.0000 0.3700
21.0000 0.4700
22.0000 0.5900
23.0000 0.4800
24.0000 0.5000
25.0000 0.5000
26.0000 0.5600
27.0000 0.5300
28.0000 0.6100
29.0000 0.7200
30.0000 0.7400
31.0000 0.7100
32.0000 0.7600
33.0000 0.7100
34.0000 0.8200
35.0000 0.8700
36.0000 0.7700
37.0000 0.8100
38.0000 0.8400
39.0000 0.8600
40.0000 0.8900
41.0000 0.8600
42.0000 0.9400
43.0000 0.9100
44.0000 0.9600
45.0000 0.9100
46.0000 0.9600
47.0000 0.9800
48.0000 0.9300
49.0000 0.9700
50.0000 1.0000
51.0000 0.9400
52.0000 0.9800
53.0000 0.9800
54.0000 0.9700
55.0000 0.9800
56.0000 1.0000
57.0000 1.0000
58.0000 1.0000
59.0000 0.9700
60.0000 0.9900
61.0000 1.0000
62.0000 1.0000
63.0000 1.0000
64.0000 1.0000
65.0000 1.0000
66.0000 0.9900
67.0000 1.0000
68.0000 1.0000
69.0000 1.0000
70.0000 1.0000
71.0000 1.0000
72.0000 1.0000
73.0000 1.0000
74.0000 1.0000
75.0000 1.0000
76.0000 1.0000
77.0000 1.0000
78.0000 1.0000
79.0000 1.0000
