#n_gente  p_exito
0.0000 0.0000
1.0000 0.0000
2.0000 0.0017
3.0000 0.0077
4.0000 0.0146
5.0000 0.0263
6.0000 0.0418
7.0000 0.0582
8.0000 0.0710
9.0000 0.0918
10.0000 0.1210
11.0000 0.1475
12.0000 0.1657
13.0000 0.1966
14.0000 0.2241
15.0000 0.2583
16.0000 0.2810
17.0000 0.3193
18.0000 0.3444
19.0000 0.3825
20.0000 0.4102
21.0000 0.4351
22.0000 0.4723
23.0000 0.5073
24.0000 0.5368
25.0000 0.5567
26.0000 0.6055
27.0000 0.6276
28.0000 0.6504
29.0000 0.6741
30.0000 0.7080
31.0000 0.7314
32.0000 0.7525
33.0000 0.7730
34.0000 0.7973
35.0000 0.8125
36.0000 0.8351
37.0000 0.8474
38.0000 0.8596
39.0000 0.8817
40.0000 0.8886
41.0000 0.9059
42.0000 0.9124
43.0000 0.9232
44.0000 0.9357
45.0000 0.9393
46.0000 0.9515
47.0000 0.9576
48.0000 0.9641
49.0000 0.9665
50.0000 0.9710
51.0000 0.9739
52.0000 0.9750
53.0000 0.9809
54.0000 0.9838
55.0000 0.9847
56.0000 0.9886
57.0000 0.9894
58.0000 0.9934
59.0000 0.9938
60.0000 0.9942
61.0000 0.9946
62.0000 0.9965
63.0000 0.9968
64.0000 0.9977
65.0000 0.9976
66.0000 0.9980
67.0000 0.9985
68.0000 0.9983
69.0000 0.9988
70.0000 0.9991
71.0000 0.9993
72.0000 0.9991
73.0000 0.9997
74.0000 0.9997
75.0000 0.9998
76.0000 0.9998
77.0000 1.0000
78.0000 1.0000
79.0000 0.9999
