#n_gente  p_exito
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 2.490000000000000026e-03
3.000000000000000000e+00 8.330000000000000598e-03
4.000000000000000000e+00 1.635999999999999954e-02
5.000000000000000000e+00 2.853999999999999940e-02
6.000000000000000000e+00 3.896999999999999770e-02
7.000000000000000000e+00 5.482000000000000067e-02
8.000000000000000000e+00 7.437000000000000555e-02
9.000000000000000000e+00 9.543000000000000094e-02
1.000000000000000000e+01 1.171399999999999941e-01
1.100000000000000000e+01 1.414300000000000002e-01
1.200000000000000000e+01 1.665300000000000114e-01
1.300000000000000000e+01 1.937699999999999978e-01
1.400000000000000000e+01 2.232899999999999885e-01
1.500000000000000000e+01 2.534399999999999986e-01
1.600000000000000000e+01 2.833899999999999753e-01
1.700000000000000000e+01 3.135899999999999799e-01
1.800000000000000000e+01 3.487799999999999789e-01
1.900000000000000000e+01 3.770600000000000063e-01
2.000000000000000000e+01 4.121699999999999808e-01
2.100000000000000000e+01 4.450500000000000012e-01
2.200000000000000000e+01 4.744300000000000184e-01
2.300000000000000000e+01 5.082400000000000251e-01
2.400000000000000000e+01 5.356699999999999795e-01
2.500000000000000000e+01 5.675400000000000444e-01
2.600000000000000000e+01 5.984500000000000375e-01
2.700000000000000000e+01 6.273300000000000542e-01
2.800000000000000000e+01 6.551200000000000356e-01
2.900000000000000000e+01 6.836100000000000509e-01
3.000000000000000000e+01 7.040899999999999936e-01
3.100000000000000000e+01 7.319700000000000095e-01
3.200000000000000000e+01 7.553499999999999659e-01
3.300000000000000000e+01 7.750299999999999967e-01
3.400000000000000000e+01 7.963500000000000023e-01
3.500000000000000000e+01 8.147299999999999542e-01
3.600000000000000000e+01 8.327400000000000357e-01
3.700000000000000000e+01 8.489200000000000079e-01
3.800000000000000000e+01 8.653699999999999726e-01
3.900000000000000000e+01 8.786300000000000221e-01
4.000000000000000000e+01 8.921900000000000386e-01
4.100000000000000000e+01 9.048699999999999521e-01
4.200000000000000000e+01 9.148100000000000120e-01
4.300000000000000000e+01 9.242700000000000360e-01
4.400000000000000000e+01 9.331000000000000405e-01
4.500000000000000000e+01 9.401199999999999557e-01
4.600000000000000000e+01 9.484299999999999953e-01
4.700000000000000000e+01 9.544399999999999551e-01
4.800000000000000000e+01 9.606799999999999784e-01
4.900000000000000000e+01 9.663300000000000223e-01
5.000000000000000000e+01 9.699900000000000189e-01
5.100000000000000000e+01 9.753199999999999648e-01
5.200000000000000000e+01 9.789299999999999669e-01
5.300000000000000000e+01 9.811100000000000376e-01
5.400000000000000000e+01 9.842899999999999983e-01
5.500000000000000000e+01 9.859900000000000331e-01
5.600000000000000000e+01 9.876099999999999879e-01
5.700000000000000000e+01 9.902900000000000036e-01
5.800000000000000000e+01 9.909799999999999720e-01
5.900000000000000000e+01 9.930499999999999883e-01
6.000000000000000000e+01 9.940700000000000092e-01
6.100000000000000000e+01 9.951400000000000245e-01
6.200000000000000000e+01 9.957300000000000040e-01
6.300000000000000000e+01 9.963499999999999579e-01
6.400000000000000000e+01 9.971499999999999808e-01
6.500000000000000000e+01 9.976599999999999913e-01
6.600000000000000000e+01 9.977500000000000258e-01
6.700000000000000000e+01 9.983499999999999597e-01
6.800000000000000000e+01 9.985500000000000487e-01
6.900000000000000000e+01 9.989200000000000301e-01
7.000000000000000000e+01 9.989000000000000101e-01
7.100000000000000000e+01 9.993600000000000261e-01
7.200000000000000000e+01 9.995000000000000551e-01
7.300000000000000000e+01 9.996099999999999985e-01
7.400000000000000000e+01 9.996099999999999985e-01
7.500000000000000000e+01 9.997399999999999620e-01
7.600000000000000000e+01 9.997399999999999620e-01
7.700000000000000000e+01 9.998200000000000420e-01
7.800000000000000000e+01 9.998500000000000165e-01
7.900000000000000000e+01 9.998799999999999910e-01
