#n_gente  p_exito
0.0000 0.0000
1.0000 0.0000
2.0000 0.0000
3.0000 0.0000
4.0000 0.0000
5.0000 0.0000
6.0000 0.1000
7.0000 0.2000
8.0000 0.0000
9.0000 0.0000
10.0000 0.2000
11.0000 0.0000
12.0000 0.2000
13.0000 0.2000
14.0000 0.2000
15.0000 0.1000
16.0000 0.4000
17.0000 0.3000
18.0000 0.7000
19.0000 0.3000
20.0000 0.5000
21.0000 0.4000
22.0000 0.5000
23.0000 0.3000
24.0000 0.3000
25.0000 0.7000
26.0000 0.4000
27.0000 0.7000
28.0000 0.5000
29.0000 0.8000
30.0000 0.9000
31.0000 0.6000
32.0000 0.8000
33.0000 0.6000
34.0000 0.7000
35.0000 1.0000
36.0000 0.7000
37.0000 1.0000
38.0000 0.8000
39.0000 0.8000
40.0000 0.9000
41.0000 1.0000
42.0000 0.9000
43.0000 0.8000
44.0000 0.9000
45.0000 0.9000
46.0000 1.0000
47.0000 0.8000
48.0000 1.0000
49.0000 1.0000
50.0000 1.0000
51.0000 1.0000
52.0000 1.0000
53.0000 1.0000
54.0000 1.0000
55.0000 1.0000
56.0000 1.0000
57.0000 1.0000
58.0000 1.0000
59.0000 1.0000
60.0000 1.0000
61.0000 1.0000
62.0000 1.0000
63.0000 1.0000
64.0000 1.0000
65.0000 1.0000
66.0000 1.0000
67.0000 1.0000
68.0000 1.0000
69.0000 1.0000
70.0000 1.0000
71.0000 1.0000
72.0000 1.0000
73.0000 1.0000
74.0000 1.0000
75.0000 1.0000
76.0000 1.0000
77.0000 1.0000
78.0000 1.0000
79.0000 1.0000
